refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,unified_title
REF041663898,1,학술지(정기간행물),에코페미니즘,이귀우,여성연구논총,1998,13,,,127-142,,,,,,,ART002094298,,,,,,추가,에코페미니즘
REF041663899,1,학술지(정기간행물),생태담론과 에코페미니즘,이귀우,새한 영어영문학,2001,43,1,,39-51,,,,,,,ART002094298,,,,,,추가,생태담론과 에코페미니즘
REF041663900,3,단행본,조선시대의 열녀담론,이숙인,,2002,,,,1월 10일,월인,,,,,,ART002094298,,,,,,추가,조선시대의 열녀담론
REF041663901,5,학위논문,계녀가류 규방가사 연구 : 형식구분을 중심으로,이언경,,2004,,,,,,,,석사,원광대학교 대학원,국어국문학,ART002094298,,,,,,추가,계녀가류 규방가사 연구 : 형식구분을 중심으로
REF041663902,5,학위논문,에코페미니즘의 기독교 윤리학적 이해,이영옥,,2007,,,,,,,,석사,한남대학교 학제신학대학원,목회신학,ART002094298,,,,,,추가,에코페미니즘의 기독교 윤리학적 이해
REF041663903,5,학위논문,계녀가류 규방가사의 화자와 청자 고찰,이원숙,,2009,,,,,,,,석사,계명대학교 교육대학원,국어교육,ART002094298,,,,,,추가,계녀가류 규방가사의 화자와 청자 고찰
REF041663904,5,학위논문,"여성주의 관점에서 바라 본 조선후기 가사 연구 : 「용부가」,「덴동어미 화전가」를 중심으로",장성아,,2006,,,,,,,,석사,영남대학교 교육대학원,국어교육,ART002094298,,,,,,추가,"여성주의 관점에서 바라 본 조선후기 가사 연구 : 「용부가」,「덴동어미 화전가」를 중심으로"
REF041663905,1,학술지(정기간행물),蔓橫淸類와 에코 페미니즘,조규익,온지논총,2011,,28,,169-202,온지학회,,ART001553754,,,,ART002094298,,,,,,추가,蔓橫淸類와 에코 페미니즘
REF041663906,3,단행본,최근 여성학의 쟁점과여성주의윤리학,Ann Ferguson,,1996,,,,-,이화여대 아시아 여성 센터,,,,,,ART002094298,,,,,,추가,최근 여성학의 쟁점과여성주의윤리학
REF037789779,3,단행본,나는 봉천동에 산다,조경란,,2013,,,,-,아시아,,,,,,ART002045212,,,,,,추가,나는 봉천동에 산다
REF037789780,3,단행본,I Live in Bongcheon-dong,조경란,,2013,,,,-,Asia,,,,,,ART002045212,,,,,,추가,I Live in Bongcheon-dong
REF037789781,3,단행본,한국현대문학대사전,권영민,,2004,,,,-,서울대학교 출판부,,,,,,ART002045212,,,,,,추가,한국현대문학대사전
REF037789782,1,학술지(정기간행물),한국어-영어 감정 은유의 개념화 과정 및 한영 번역,김도훈 ; 최은실,영어영문학21,2011,24,3,,99-120,21세기영어영문학회,,ART001590822,,,,ART002045212,,,,,,추가,한국어-영어 감정 은유의 개념화 과정 및 한영 번역
REF037789783,1,학술지(정기간행물),일방적 문화편향성을 넘어 상생의 미학으로–베누티와 베르만의 이국화 번역에 대한 논의를 중심으로,김선영,비교문학,2014,,64,,25-55,한국비교문학회,,ART001926806,,,,ART002045212,,,,,,추가,일방적 문화편향성을 넘어 상생의 미학으로–베누티와 베르만의 이국화 번역에 대한 논의를 중심으로
REF037789784,1,학술지(정기간행물),텍스트의 정보성―문학작품 속 어휘번역,김세정,번역학연구,2003,4,2,,49-69,한국번역학회,,ART001002124,,,,ART002045212,,,,,,추가,텍스트의 정보성―문학작품 속 어휘번역
REF037789785,1,학술지(정기간행물),문학 작품 속의 감정은유 번역 —개념적 은유 이론의 관점에서 본  ‘슬픔(哀)’과 ‘화(怒)’의 한영번역 양상을 중심으로,김순영,번역학연구,2008,9,3,,7월 26일,한국번역학회,,ART001281308,,,,ART002045212,,,,,,추가,문학 작품 속의 감정은유 번역 —개념적 은유 이론의 관점에서 본  ‘슬픔(哀)’과 ‘화(怒)’의 한영번역 양상을 중심으로
REF037789786,1,학술지(정기간행물),문학번역에서 L1 번역과 L2 번역이 번역텍스트에 미치는 영향   —이효석의 『메밀꽃 필 무렵』 영역본을 중심으로,김순영,번역학연구,2009,10,4,,41-59,한국번역학회,,ART001405605,,,,ART002045212,,,,,,추가,문학번역에서 L1 번역과 L2 번역이 번역텍스트에 미치는 영향   —이효석의 『메밀꽃 필 무렵』 영역본을 중심으로
REF037789787,1,학술지(정기간행물),번역을 향한 증오,김시몽,비교문학,2011,,54,,5월 31일,한국비교문학회,,ART001570938,,,,ART002045212,,,,,,추가,번역을 향한 증오
REF037789788,1,학술지(정기간행물),한영 문학 번역에서 주제문의 번역 방식: 박완서의 “집 보기는 그렇게 끝났다”에 근거해서,박옥수,비교문학,2014,,62,,371-393,한국비교문학회,,ART001855260,,,,ART002045212,,,,,,추가,한영 문학 번역에서 주제문의 번역 방식: 박완서의 “집 보기는 그렇게 끝났다”에 근거해서
REF037789789,1,학술지(정기간행물),저자의 의도가 번역문에 반영된 방식 - <아저씨의 훈장>의 영역본 분석에 근거해서 -,박옥수,겨레어문학,2013,,50,,43-70,겨레어문학회,,ART001781663,,,,ART002045212,,,,,,추가,저자의 의도가 번역문에 반영된 방식 - <아저씨의 훈장>의 영역본 분석에 근거해서 -
REF037789790,1,학술지(정기간행물),한국 단편소설의 번역에서 드러난 가독성의 규범 -신경숙의 ‘그 여자의 이미지’ 영역에 근거해서-,박옥수,겨레어문학,2012,,48,,165-190,겨레어문학회,,ART001680877,,,,ART002045212,,,,,,추가,한국 단편소설의 번역에서 드러난 가독성의 규범 -신경숙의 ‘그 여자의 이미지’ 영역에 근거해서-
REF037789791,1,학술지(정기간행물),한영문학 번역에서 문체의 반영  -박완서의 ｢그 살벌했던 날의 할미꽃｣의 분석에 근거해서-,박옥수,겨레어문학,2011,,46,,69-95,겨레어문학회,,ART001571385,,,,ART002045212,,,,,,추가,한영문학 번역에서 문체의 반영  -박완서의 ｢그 살벌했던 날의 할미꽃｣의 분석에 근거해서-
REF037789792,1,학술지(정기간행물),‘삼포 가는 길’의 영어 번역물에 드러난 번역 규범: 기술(記述)적 분석에 근거해서,박옥수,비교문학,2010,,52,,57-88,한국비교문학회,,ART001490902,,,,ART002045212,,,,,,추가,‘삼포 가는 길’의 영어 번역물에 드러난 번역 규범: 기술(記述)적 분석에 근거해서
REF037789793,1,학술지(정기간행물),｢붉은 산｣의 번역전략 분석: 언어 및 문화적 측면을 중심으로,박옥수,동화와 번역,2010,,20,,75-107,동화와번역연구소,,ART001512229,,,,ART002045212,,,,,,추가,｢붉은 산｣의 번역전략 분석: 언어 및 문화적 측면을 중심으로
REF037789794,1,학술지(정기간행물),문학번역과 문화번역: 한국 문학 작품의 영어 번역에 나타나는 문제점 연구,박진임,번역학연구,2004,5,1,,97-111,한국번역학회,,ART000930243,,,,ART002045212,,,,,,추가,문학번역과 문화번역: 한국 문학 작품의 영어 번역에 나타나는 문제점 연구
REF037789795,1,학술지(정기간행물),한국 영역시 오류 원인 분석―2000년 전후 국내외 출간 한영대역시집 중심으로,박향선,번역학연구,2002,3,2,,63-79,한국번역학회,,ART001003431,,,,ART002045212,,,,,,추가,한국 영역시 오류 원인 분석―2000년 전후 국내외 출간 한영대역시집 중심으로
REF037789796,3,단행본,한국문학의 영어 번역 현황,봉준수,,2004,,,,1-44,연세대학교출판부,,,,,,ART002045212,,,,,,추가,한국문학의 영어 번역 현황
REF037789797,1,학술지(정기간행물),『번역』과 『풀속깊이』를 통해 본   포스트콜로니얼적 문화실천 비교 연구,정윤길,동서비교문학저널,2009,,20,,239-262,한국동서비교문학학회,,ART001357639,,,,ART002045212,,,,,,추가,『번역』과 『풀속깊이』를 통해 본   포스트콜로니얼적 문화실천 비교 연구
REF037789798,3,단행본,나는 봉천동에 산다 : I Live in Bongcheon-dong,조경란,,1987,,,,-,Asia,,,,,,ART002045212,,,,,,추가,나는 봉천동에 산다 : I Live in Bongcheon-dong
REF037789799,1,학술지(정기간행물),황순원 소설의 문체번역 가능성 —「소나기」를 중심으로,한미애,번역학연구,2010,11,1,,293-310,한국번역학회,,ART001435430,,,,ART002045212,,,,,,추가,황순원 소설의 문체번역 가능성 —「소나기」를 중심으로
REF037789800,1,학술지(정기간행물),세계문학으로서 한국문학:  번역과 번역공정의 문제에 대한 고찰,한지희,비교문학,2011,,54,,159-184,한국비교문학회,,ART001570973,,,,ART002045212,,,,,,추가,세계문학으로서 한국문학:  번역과 번역공정의 문제에 대한 고찰
REF037789801,3,단행본,In Other Words : A Coursebook on Translation,"Baker, Mona",,1992,,,,-,Routledge,,,,,,ART002045212,,,,,,추가,In Other Words : A Coursebook on Translation
REF037789802,3,단행본,Introduction to Text Linguistics,"de Beaugrande, Robert",,1981,,,,-,Longman,,,,,,ART002045212,,,,,,추가,Introduction to Text Linguistics
REF037789803,2,학술대회논문,COSB – A Model for Translation Quality Analysis & Evaluation,"Huang, Harry J",,2005,,,,35-36,,,,,,,ART002045212,,,,,Proceedings of the XVII World Congress International Federation of Translators,추가,COSB – A Model for Translation Quality Analysis & Evaluation
REF037789804,3,단행본,A textbook of Translation,"Newmark, Peter",,2000,,,,-,Prentice Hall International,,,,,,ART002045212,,,,,,추가,A textbook of Translation
REF037789805,3,단행본,Towards a Science of Translation,"Nida, Eugene",,1964,,,,-,E. J. Brill,,,,,,ART002045212,,,,,,추가,Towards a Science of Translation
REF037789806,3,단행본,Translation Criticism : The Potentials and Limitations,"Reiss, Katharina",,2000,,,,-,St. Jerome,,,,,,ART002045212,,,,,,추가,Translation Criticism - The Potentials and Limitations
REF037789807,3,단행본,Culture and Imperialism,"Said, Edward",,1993,,,,-,Vintage,,,,,,ART002045212,,,,,,추가,Culture and Imperialism
REF037789808,3,단행본,The Translator's Invisibility : A History of Translation,"Venuti, Lawrence",,1995,,,,-,Routledge,,,,,,ART002045212,,,,,,추가,The Translator's Invisibility : a History of Translation
REF056461996,5,학위논문,교육 연극을 활용한 소설 지도 방안 연구,김의,,2014,,,,,,,,석사,충남대학교 교육대학원,국어교육전공,ART002675121,,,,,,추가,교육 연극을 활용한 소설 지도 방안 연구
REF056461997,1,학술지(정기간행물),린다 허천의 각색 담론,서성은,우리어문연구,2014,,48,,319-353,우리어문학회,,ART001847075,,,,ART002675121,,,,,,추가,린다 허천의 각색 담론
REF056461998,3,단행본,교육연극의 이론과 실제,심상교,,2001,,,,-,연극과인간,,,,,,ART002675121,,,,,,추가,교육연극의 이론과 실제
REF056461999,3,단행본,시학,아리스토텔레스,,2011,,,,52-,문예출판사,,,,,,ART002675121,,,,,,추가,시학
REF056462000,1,학술지(정기간행물),텍스트 각색과 낭독 공연을 통한 국어교육- 대학생들의 글쓰기？말하기 교육을 중심으로,안숙현,새국어교육,2007,,76,,221-242,한국국어교육학회,http://dx.doi.org/10.15734/koed..76.200708.221,ART001076294,,,,ART002675121,,,,,,추가,텍스트 각색과 낭독 공연을 통한 국어교육- 대학생들의 글쓰기？말하기 교육을 중심으로
REF056462001,1,학술지(정기간행물),희곡 각색 교육의 내용 연구-초등학교를 중심으로-,오판진,교육연극학,2017,9,1,,1월 21일,한국교육연극학회,,ART002411381,,,,ART002675121,,,,,,추가,희곡 각색 교육의 내용 연구-초등학교를 중심으로-
REF056462002,1,학술지(정기간행물),어린이를 위한 낭독공연의 유형 연구,오판진,공연문화연구,2018,,37,,223-248,한국공연문화학회,http://dx.doi.org/10.35150/korear.2018..37.008,ART002379086,,,,ART002675121,,,,,,추가,어린이를 위한 낭독공연의 유형 연구
REF056462003,1,학술지(정기간행물),문학독서교육의 이론과 실천을 위한 기반 검토,우한용,先淸語文,2004,32,,,43-84,서울대학교 사범대학 국어교육과,,,,,,ART002675121,,,,,,추가,문학독서교육의 이론과 실천을 위한 기반 검토
REF056462004,1,학술지(정기간행물),문학토론에서 소설 해석의 양상에 관한 연구,이인화,새국어교육,2013,,94,,249-280,한국국어교육학회,http://dx.doi.org/10.15734/koed..94.201303.249,ART001754229,,,,ART002675121,,,,,,추가,문학토론에서 소설 해석의 양상에 관한 연구
REF056462005,1,학술지(정기간행물),교육연극을 활용한 소설교육 방안 연구: 이문구의 우리동네를 중심으로,정은주,교원교육,2019,35,2,,217-238,교육연구원,http://dx.doi.org/10.14333/KJTE.2019.35.2.217,ART002460491,,,,ART002675121,,,,,,추가,교육연극을 활용한 소설교육 방안 연구: 이문구의 우리동네를 중심으로
REF056462006,1,학술지(정기간행물),문학 수업에서 토론의 가치와 효과 - 박완서 소설에 대한 토론 사례를 중심으로 -,정재림 ; 이남호,한국문예비평연구,2014,,45,,417-442,한국현대문예비평학회,http://dx.doi.org/10.35832/kmlc..45.201412.417,ART001946942,,,,ART002675121,,,,,,추가,문학 수업에서 토론의 가치와 효과 - 박완서 소설에 대한 토론 사례를 중심으로 -
REF056462007,3,단행본,"문학의 교육, 문학을 통한 교육",하정일,,2009,,,,240-251,문학과지성사,,,,,,ART002675121,,,,,,추가,"문학의 교육, 문학을 통한 교육"
REF056462008,1,학술지(정기간행물),‘각색’을 통한 문학과 영상의 통합 교육 방안,한귀은,현대문학의 연구,2006,,30,,495-526,한국문학연구학회,,ART001027220,,,,ART002675121,,,,,,추가,‘각색’을 통한 문학과 영상의 통합 교육 방안
REF056462009,1,학술지(정기간행물),서사의 이미지화를 통한 상상력 교육 연구: 소설 각색 만화를 중심으로,홍인영,학습자중심교과교육연구,2016,16,9,,699-730,학습자중심교과교육학회,http://dx.doi.org/10.22251/jlcci.2016.16.9.699,ART002150545,,,,ART002675121,,,,,,추가,서사의 이미지화를 통한 상상력 교육 연구: 소설 각색 만화를 중심으로
REF056462010,1,학술지(정기간행물),소설의 수사적 읽기 교육 연구를 위한 시론(試論),홍인영,한민족어문학(구 영남어문학),2018,,80,,41-71,한민족어문학회,http://dx.doi.org/10.31821/HEM.80.2,ART002361899,,,,ART002675121,,,,,,추가,소설의 수사적 읽기 교육 연구를 위한 시론(試論)
REF056462011,3,단행본,각색과 전유,줄리 샌더스,,2019,,,,39-,동인,,,,,,ART002675121,,,,,,추가,각색과 전유
REF056462012,3,단행본,서사학 강의,H. 포터 애벗,,2013,,,,45-,문학과지성사,,,,,,ART002675121,,,,,,추가,서사학 강의
REF041068404,3,단행본,일대의 유업,염상섭,,1960,,,,-,을유문화사,,,,,,ART002117457,,,,,,추가,일대의 유업
REF041068405,3,단행본,염상섭 전집10,염상섭,,1950,,,,1987-,민음사,,,,,,ART002117457,,,,,,추가,염상섭 전집10
REF041068406,3,단행본,염상섭 전집 별권,권영민,,1987,,,,-,민음사,,,,,,ART002117457,,,,,,추가,염상섭 전집 별권
REF041068407,1,학술지(정기간행물),염상섭 단편소설의 전개과정,김경수,서강인문논총,2007,21,,,5월 28일,서강대학교인문과학연구소,,,,,,ART002117457,,,,,,추가,염상섭 단편소설의 전개과정
REF041068408,1,학술지(정기간행물),1950년대 소설에 나타난 반미의 양상과 젠더,김복순,여성문학연구,2009,21,21,,45-92,한국여성문학학회,,ART001359845,,,,ART002117457,,,,,,추가,1950년대 소설에 나타난 반미의 양상과 젠더
REF041068409,3,단행본,염상섭연구,김윤식,,1987,,,,-,서울대학교출판부,,,,,,ART002117457,,,,,,추가,염상섭연구
REF041068410,1,학술지(정기간행물),박완서 소설 『그 남자네 집』의 젠더 수행성과 장소,김윤정,현대문학이론연구,2013,,53,,29-52,현대문학이론학회,,ART001783759,,,,ART002117457,,,,,,추가,박완서 소설 『그 남자네 집』의 젠더 수행성과 장소
REF041068411,3,단행본,염상섭소설연구,김종균,,1999,,,,-,국학자료원,,,,,,ART002117457,,,,,,추가,염상섭소설연구
REF041068412,5,학위논문,"한국 근대소설에 나타난 사랑의 양상과 의미에 관한 연구 : 이광수, 염상섭, 이상을 중심으로",서영채,,2002,,,,,,,,박사,서울대학교 대학원,현대문학,ART002117457,,,,,,추가,"한국 근대소설에 나타난 사랑의 양상과 의미에 관한 연구 : 이광수, 염상섭, 이상을 중심으로"
REF041068413,1,학술지(정기간행물),젠더와 공간의 생산 - 여성청소노동자의 사례를 중심으로 -,안숙영,여성학연구,2012,22,3,,89-112,여성연구소,,ART001709443,,,,ART002117457,,,,,,추가,젠더와 공간의 생산 - 여성청소노동자의 사례를 중심으로 -
REF041068414,5,학위논문,해방 후 염상섭 단편소설 연구,염형운,,2013,,,,,,,,박사,한국외국어대학교 대학원,국어국문학과,ART002117457,,,,,,추가,해방 후 염상섭 단편소설 연구
REF041068415,1,학술지(정기간행물),"염상섭 소설에서의 자유연애와 자본으로서의 젠더인식― 「제야」, 「너희는 무엇을 얻었느냐」, 「해바라기」를 중심으로-",윤영옥,현대문학이론연구,2014,,58,,255-281,현대문학이론학회,,ART001919524,,,,ART002117457,,,,,,추가,"염상섭 소설에서의 자유연애와 자본으로서의 젠더인식― 「제야」, 「너희는 무엇을 얻었느냐」, 「해바라기」를 중심으로-"
REF041068416,3,단행본,"전쟁미망인, 한국현대사의 침묵을 깨다",이임하,,2010,,,,-,책과함께,,,,,,ART002117457,,,,,,추가,전쟁미망인 한국현대사의 침묵을 깨다
REF041068417,3,단행본,페미니즘 차이와 사이,이희원,,2011,,,,-,문학동네,,,,,,ART002117457,,,,,,추가,페미니즘 차이와 사이
REF041068418,3,단행본,주디스 버틀러의 젠더정체성 이론,조현준,,2007,,,,-,한국학술정보(주),,,,,,ART002117457,,,,,,추가,주디스 버틀러의 젠더정체성 이론
REF041068419,5,학위논문,염상섭 문학에 나타난 서사적 정체성 연구,진정석,,2006,,,,,,,,박사,서울대학교 대학원,국문학,ART002117457,,,,,,추가,염상섭 문학에 나타난 서사적 정체성 연구
REF041068420,3,단행본,소설과 일상성,한수영,,2000,,,,-,소명출판,,,,,,ART002117457,,,,,,추가,소설과 일상성
REF041068421,5,학위논문,1950년대 한국소설의 남성 젠더 수행성 연구,허윤,,2015,,,,,,,,박사,이화여자대학교,,ART002117457,,,,,,추가,1950년대 한국소설의 남성 젠더 수행성 연구
REF041068422,3,단행본,"공간, 장소, 젠더",도린 매시,,2015,,,,-,서울대학교출판문화원,,,,,,ART002117457,,,,,,추가,"장소, 공간, 젠더"
REF041068423,3,단행본,"젠더, 정체성, 장소",린다 맥도웰,,2010,,,,-,한울,,,,,,ART002117457,,,,,,추가,"젠더, 정체성, 장소"
REF041068424,3,단행본,가부장제와 자본주의,마리아 미즈,,2014,,,,-,갈무리,,,,,,ART002117457,,,,,,추가,가부장제와 자본주의
REF041068425,3,단행본,공간과 장소,이-푸 투안,,1995,,,,-,대윤,,,,,,ART002117457,,,,,,추가,공간과 장소
REF041068426,3,단행본,인간과 공간,오토 프리드리히 볼노,,2011,,,,-,에코리브르,,,,,,ART002117457,,,,,,추가,인간과 공간
REF061195563,3,단행본,포유강 사람속,구병천,,1992,,,,-,열음사,,,,,,ART002796812,,,,,,추가,포유강 사람속
REF061195564,7,기타자료,종이와 활자의 참을 수 없는 가벼움,박완서,,,,,,,,,,,,,ART002796812,,,,,,추가,종이와 활자의 참을 수 없는 가벼움
REF061195565,3,단행본,파란 달 아래,복거일,,1992,,,,-,문학과지성사,,,,,,ART002796812,,,,,,추가,파란 달 아래
REF061195566,3,단행본,나는 컴퓨터 시인이로소이다,이상운,,1992,,,,-,서울창작,,,,,,ART002796812,,,,,,추가,나는 컴퓨터 시인이로소이다
REF061195567,1,학술지(정기간행물),글쓰기와 글치기,하재봉,출판저널,1992,,100,,-,,,,,,,ART002796812,,,,,,추가,글쓰기와 글치기
REF061195568,1,학술지(정기간행물),1969년 한글 자판 표준화 - 한글 기계화의 분수령,김태호,역사비평,2015,,113,,165-197,역사문제연구소,,ART002053954,,,,ART002796812,,,,,,추가,1969년 한글 자판 표준화 - 한글 기계화의 분수령
REF061195569,1,학술지(정기간행물),어설픈 절충에서 새로운 미학으로: 공병우타자기의 유산과 “탈네모틀 글꼴”의 탄생,김태호,동악어문학,2019,,77,,9-40,동악어문학회,,ART002441257,,,,ART002796812,,,,,,추가,어설픈 절충에서 새로운 미학으로: 공병우타자기의 유산과 “탈네모틀 글꼴”의 탄생
REF061195570,1,학술지(정기간행물),"글쓰기 기계들의 문학사, 보철 장치와 정동의 재구성",임태훈,현대문학이론연구,2021,,84,,185-213,현대문학이론학회,http://dx.doi.org/10.22273/SMLT.84.7,ART002705792,,,,ART002796812,,,,,,추가,"글쓰기 기계들의 문학사, 보철 장치와 정동의 재구성"
REF061195571,1,학술지(정기간행물),컴퓨터의 국가 - 1980년대 한국의 PC 생산을 둘러싼 기억과 신화,조형래,한국문학연구,2014,,47,,433-474,한국문학연구소,http://dx.doi.org/10.20881/skl.2014..47.012,ART001938263,,,,ART002796812,,,,,,추가,컴퓨터의 국가 - 1980년대 한국의 PC 생산을 둘러싼 기억과 신화
REF061195572,1,학술지(정기간행물),"인터페이스의 거울-1990년대 한국소설과 영화에 나타난 컴퓨터, PC, 네트워크 표상 연구",조형래,인문과학연구논총,2017,38,1,,257-289,인문과학연구소,http://dx.doi.org/10.22947/ihmju.2017.38.1.010,ART002199151,,,,ART002796812,,,,,,추가,"인터페이스의 거울-1990년대 한국소설과 영화에 나타난 컴퓨터, PC, 네트워크 표상 연구"
REF061195573,1,학술지(정기간행물),"워드프로세서 · 글쓰기 · 문학, 1980 · 1990 : 한국의 초기 워드프로세서 보급과 작가의 글쓰기 Ⅰ",조형래,동악어문학,2017,,73,,57-94,동악어문학회,http://dx.doi.org/10.25150/dongak.2017..73.002,ART002285312,,,,ART002796812,,,,,,추가,"워드프로세서 · 글쓰기 · 문학, 1980 · 1990 : 한국의 초기 워드프로세서 보급과 작가의 글쓰기 Ⅰ"
